feature,label,boundary
./dataset/Breakfast/features_average/P16_cam01_P16_cereals.npy,./dataset/Breakfast/gt_arr/P16_cam01_P16_cereals.npy,./dataset/Breakfast/gt_boundary_arr/P16_cam01_P16_cereals.npy
./dataset/Breakfast/features_average/P16_cam01_P16_friedegg.npy,./dataset/Breakfast/gt_arr/P16_cam01_P16_friedegg.npy,./dataset/Breakfast/gt_boundary_arr/P16_cam01_P16_friedegg.npy
./dataset/Breakfast/features_average/P16_cam01_P16_juice.npy,./dataset/Breakfast/gt_arr/P16_cam01_P16_juice.npy,./dataset/Breakfast/gt_boundary_arr/P16_cam01_P16_juice.npy
./dataset/Breakfast/features_average/P16_cam01_P16_milk.npy,./dataset/Breakfast/gt_arr/P16_cam01_P16_milk.npy,./dataset/Breakfast/gt_boundary_arr/P16_cam01_P16_milk.npy
./dataset/Breakfast/features_average/P16_cam01_P16_pancake.npy,./dataset/Breakfast/gt_arr/P16_cam01_P16_pancake.npy,./dataset/Breakfast/gt_boundary_arr/P16_cam01_P16_pancake.npy
./dataset/Breakfast/features_average/P16_cam01_P16_salat.npy,./dataset/Breakfast/gt_arr/P16_cam01_P16_salat.npy,./dataset/Breakfast/gt_boundary_arr/P16_cam01_P16_salat.npy
./dataset/Breakfast/features_average/P16_cam01_P16_sandwich.npy,./dataset/Breakfast/gt_arr/P16_cam01_P16_sandwich.npy,./dataset/Breakfast/gt_boundary_arr/P16_cam01_P16_sandwich.npy
./dataset/Breakfast/features_average/P16_cam01_P16_tea.npy,./dataset/Breakfast/gt_arr/P16_cam01_P16_tea.npy,./dataset/Breakfast/gt_boundary_arr/P16_cam01_P16_tea.npy
./dataset/Breakfast/features_average/P16_stereo01_P16_cereals.npy,./dataset/Breakfast/gt_arr/P16_stereo01_P16_cereals.npy,./dataset/Breakfast/gt_boundary_arr/P16_stereo01_P16_cereals.npy
./dataset/Breakfast/features_average/P16_stereo01_P16_friedegg.npy,./dataset/Breakfast/gt_arr/P16_stereo01_P16_friedegg.npy,./dataset/Breakfast/gt_boundary_arr/P16_stereo01_P16_friedegg.npy
./dataset/Breakfast/features_average/P16_stereo01_P16_juice.npy,./dataset/Breakfast/gt_arr/P16_stereo01_P16_juice.npy,./dataset/Breakfast/gt_boundary_arr/P16_stereo01_P16_juice.npy
./dataset/Breakfast/features_average/P16_stereo01_P16_milk.npy,./dataset/Breakfast/gt_arr/P16_stereo01_P16_milk.npy,./dataset/Breakfast/gt_boundary_arr/P16_stereo01_P16_milk.npy
./dataset/Breakfast/features_average/P16_stereo01_P16_pancake.npy,./dataset/Breakfast/gt_arr/P16_stereo01_P16_pancake.npy,./dataset/Breakfast/gt_boundary_arr/P16_stereo01_P16_pancake.npy
./dataset/Breakfast/features_average/P16_stereo01_P16_salat.npy,./dataset/Breakfast/gt_arr/P16_stereo01_P16_salat.npy,./dataset/Breakfast/gt_boundary_arr/P16_stereo01_P16_salat.npy
./dataset/Breakfast/features_average/P16_stereo01_P16_sandwich.npy,./dataset/Breakfast/gt_arr/P16_stereo01_P16_sandwich.npy,./dataset/Breakfast/gt_boundary_arr/P16_stereo01_P16_sandwich.npy
./dataset/Breakfast/features_average/P16_stereo01_P16_scrambledegg.npy,./dataset/Breakfast/gt_arr/P16_stereo01_P16_scrambledegg.npy,./dataset/Breakfast/gt_boundary_arr/P16_stereo01_P16_scrambledegg.npy
./dataset/Breakfast/features_average/P16_stereo01_P16_tea.npy,./dataset/Breakfast/gt_arr/P16_stereo01_P16_tea.npy,./dataset/Breakfast/gt_boundary_arr/P16_stereo01_P16_tea.npy
./dataset/Breakfast/features_average/P16_webcam01_P16_cereals.npy,./dataset/Breakfast/gt_arr/P16_webcam01_P16_cereals.npy,./dataset/Breakfast/gt_boundary_arr/P16_webcam01_P16_cereals.npy
./dataset/Breakfast/features_average/P16_webcam01_P16_juice.npy,./dataset/Breakfast/gt_arr/P16_webcam01_P16_juice.npy,./dataset/Breakfast/gt_boundary_arr/P16_webcam01_P16_juice.npy
./dataset/Breakfast/features_average/P16_webcam01_P16_milk.npy,./dataset/Breakfast/gt_arr/P16_webcam01_P16_milk.npy,./dataset/Breakfast/gt_boundary_arr/P16_webcam01_P16_milk.npy
./dataset/Breakfast/features_average/P16_webcam01_P16_pancake.npy,./dataset/Breakfast/gt_arr/P16_webcam01_P16_pancake.npy,./dataset/Breakfast/gt_boundary_arr/P16_webcam01_P16_pancake.npy
./dataset/Breakfast/features_average/P16_webcam01_P16_salat.npy,./dataset/Breakfast/gt_arr/P16_webcam01_P16_salat.npy,./dataset/Breakfast/gt_boundary_arr/P16_webcam01_P16_salat.npy
./dataset/Breakfast/features_average/P16_webcam01_P16_sandwich.npy,./dataset/Breakfast/gt_arr/P16_webcam01_P16_sandwich.npy,./dataset/Breakfast/gt_boundary_arr/P16_webcam01_P16_sandwich.npy
./dataset/Breakfast/features_average/P16_webcam01_P16_scrambledegg.npy,./dataset/Breakfast/gt_arr/P16_webcam01_P16_scrambledegg.npy,./dataset/Breakfast/gt_boundary_arr/P16_webcam01_P16_scrambledegg.npy
./dataset/Breakfast/features_average/P16_webcam01_P16_tea.npy,./dataset/Breakfast/gt_arr/P16_webcam01_P16_tea.npy,./dataset/Breakfast/gt_boundary_arr/P16_webcam01_P16_tea.npy
./dataset/Breakfast/features_average/P16_webcam02_P16_cereals.npy,./dataset/Breakfast/gt_arr/P16_webcam02_P16_cereals.npy,./dataset/Breakfast/gt_boundary_arr/P16_webcam02_P16_cereals.npy
./dataset/Breakfast/features_average/P16_webcam02_P16_coffee.npy,./dataset/Breakfast/gt_arr/P16_webcam02_P16_coffee.npy,./dataset/Breakfast/gt_boundary_arr/P16_webcam02_P16_coffee.npy
./dataset/Breakfast/features_average/P16_webcam02_P16_juice.npy,./dataset/Breakfast/gt_arr/P16_webcam02_P16_juice.npy,./dataset/Breakfast/gt_boundary_arr/P16_webcam02_P16_juice.npy
