feature,label,boundary
./dataset/MPII_Cooking/features_average/s34-d73-cam-002.npy,./dataset/MPII_Cooking/cluster_arr/s34-d73-cam-002.npy,./dataset/MPII_Cooking/cluster_boundary_arr/s34-d73-cam-002.npy
./dataset/MPII_Cooking/features_average/s22-d29-cam-002.npy,./dataset/MPII_Cooking/cluster_arr/s22-d29-cam-002.npy,./dataset/MPII_Cooking/cluster_boundary_arr/s22-d29-cam-002.npy
./dataset/MPII_Cooking/features_average/s34-d21-cam-002.npy,./dataset/MPII_Cooking/cluster_arr/s34-d21-cam-002.npy,./dataset/MPII_Cooking/cluster_boundary_arr/s34-d21-cam-002.npy
./dataset/MPII_Cooking/features_average/s28-d25-cam-002.npy,./dataset/MPII_Cooking/cluster_arr/s28-d25-cam-002.npy,./dataset/MPII_Cooking/cluster_boundary_arr/s28-d25-cam-002.npy
./dataset/MPII_Cooking/features_average/s33-d45-cam-002.npy,./dataset/MPII_Cooking/cluster_arr/s33-d45-cam-002.npy,./dataset/MPII_Cooking/cluster_boundary_arr/s33-d45-cam-002.npy
./dataset/MPII_Cooking/features_average/s33-d23-cam-002.npy,./dataset/MPII_Cooking/cluster_arr/s33-d23-cam-002.npy,./dataset/MPII_Cooking/cluster_boundary_arr/s33-d23-cam-002.npy
./dataset/MPII_Cooking/features_average/s28-d46-cam-002.npy,./dataset/MPII_Cooking/cluster_arr/s28-d46-cam-002.npy,./dataset/MPII_Cooking/cluster_boundary_arr/s28-d46-cam-002.npy
./dataset/MPII_Cooking/features_average/s22-d35-cam-002.npy,./dataset/MPII_Cooking/cluster_arr/s22-d35-cam-002.npy,./dataset/MPII_Cooking/cluster_boundary_arr/s22-d35-cam-002.npy
./dataset/MPII_Cooking/features_average/s34-d69-cam-002.npy,./dataset/MPII_Cooking/cluster_arr/s34-d69-cam-002.npy,./dataset/MPII_Cooking/cluster_boundary_arr/s34-d69-cam-002.npy
./dataset/MPII_Cooking/features_average/s33-d54-cam-002.npy,./dataset/MPII_Cooking/cluster_arr/s33-d54-cam-002.npy,./dataset/MPII_Cooking/cluster_boundary_arr/s33-d54-cam-002.npy
./dataset/MPII_Cooking/features_average/s22-d48-cam-002.npy,./dataset/MPII_Cooking/cluster_arr/s22-d48-cam-002.npy,./dataset/MPII_Cooking/cluster_boundary_arr/s22-d48-cam-002.npy
./dataset/MPII_Cooking/features_average/s34-d63-cam-002.npy,./dataset/MPII_Cooking/cluster_arr/s34-d63-cam-002.npy,./dataset/MPII_Cooking/cluster_boundary_arr/s34-d63-cam-002.npy
./dataset/MPII_Cooking/features_average/s22-d26-cam-002.npy,./dataset/MPII_Cooking/cluster_arr/s22-d26-cam-002.npy,./dataset/MPII_Cooking/cluster_boundary_arr/s22-d26-cam-002.npy
./dataset/MPII_Cooking/features_average/s33-d49-cam-002.npy,./dataset/MPII_Cooking/cluster_arr/s33-d49-cam-002.npy,./dataset/MPII_Cooking/cluster_boundary_arr/s33-d49-cam-002.npy
./dataset/MPII_Cooking/features_average/s28-d74-cam-002.npy,./dataset/MPII_Cooking/cluster_arr/s28-d74-cam-002.npy,./dataset/MPII_Cooking/cluster_boundary_arr/s28-d74-cam-002.npy
./dataset/MPII_Cooking/features_average/s22-d43-cam-002.npy,./dataset/MPII_Cooking/cluster_arr/s22-d43-cam-002.npy,./dataset/MPII_Cooking/cluster_boundary_arr/s22-d43-cam-002.npy
./dataset/MPII_Cooking/features_average/s22-d25-cam-002.npy,./dataset/MPII_Cooking/cluster_arr/s22-d25-cam-002.npy,./dataset/MPII_Cooking/cluster_boundary_arr/s22-d25-cam-002.npy
./dataset/MPII_Cooking/features_average/s29-d31-cam-002.npy,./dataset/MPII_Cooking/cluster_arr/s29-d31-cam-002.npy,./dataset/MPII_Cooking/cluster_boundary_arr/s29-d31-cam-002.npy
./dataset/MPII_Cooking/features_average/s34-d41-cam-002.npy,./dataset/MPII_Cooking/cluster_arr/s34-d41-cam-002.npy,./dataset/MPII_Cooking/cluster_boundary_arr/s34-d41-cam-002.npy
./dataset/MPII_Cooking/features_average/s22-d46-cam-002.npy,./dataset/MPII_Cooking/cluster_arr/s22-d46-cam-002.npy,./dataset/MPII_Cooking/cluster_boundary_arr/s22-d46-cam-002.npy
./dataset/MPII_Cooking/features_average/s22-d55-cam-002.npy,./dataset/MPII_Cooking/cluster_arr/s22-d55-cam-002.npy,./dataset/MPII_Cooking/cluster_boundary_arr/s22-d55-cam-002.npy
./dataset/MPII_Cooking/features_average/s29-d50-cam-002.npy,./dataset/MPII_Cooking/cluster_arr/s29-d50-cam-002.npy,./dataset/MPII_Cooking/cluster_boundary_arr/s29-d50-cam-002.npy
./dataset/MPII_Cooking/features_average/s33-d50-cam-002.npy,./dataset/MPII_Cooking/cluster_arr/s33-d50-cam-002.npy,./dataset/MPII_Cooking/cluster_boundary_arr/s33-d50-cam-002.npy
./dataset/MPII_Cooking/features_average/s29-d39-cam-002.npy,./dataset/MPII_Cooking/cluster_arr/s29-d39-cam-002.npy,./dataset/MPII_Cooking/cluster_boundary_arr/s29-d39-cam-002.npy
./dataset/MPII_Cooking/features_average/s22-d53-cam-002.npy,./dataset/MPII_Cooking/cluster_arr/s22-d53-cam-002.npy,./dataset/MPII_Cooking/cluster_boundary_arr/s22-d53-cam-002.npy
./dataset/MPII_Cooking/features_average/s22-d34-cam-002.npy,./dataset/MPII_Cooking/cluster_arr/s22-d34-cam-002.npy,./dataset/MPII_Cooking/cluster_boundary_arr/s22-d34-cam-002.npy
